"name","type","url","dataset_DOI","description","published_at","publisher","citationHtml","identifier_of_dataverse","name_of_dataverse","citation","storageIdentifier","keywords","subjects","fileCount","versionId","versionState","majorVersion","minorVersion","createdAt","updatedAt","contacts","publications","producers","geographicCoverage","authors","dataSources","viewsTotal","viewsUnique","downloadsTotal","downloadsUnique","storage_size_bytes","storage_size_GB"
"Dataset of a laboratory study on flows in a compound open channel with transverse currents","dataset","https://doi.org/10.57745/HJKRYH","doi:10.57745/HJKRYH","This dataset is composed of experimental measurements collected in an 18 m long and 3 m wide tilted open-channel flume, consisting of a central smooth-bed main channel (MC) and two adjacent rough-surface floodplains (FPs). Streamwise depth-uniform and non-uniform flows were both investigated. The non-uniform flows were generated by imposing an imbalance in the discharge distribution between MC and FPs at the flume entrance. They involve transverse currents directed from MC to FPs and vice versa. The focus is on assessing the effects of the transverse currents on the flow structure within the shallow mixing layer developing between MC and FPs. Six flow cases were investigated varying the inflow partition between MC and FP, keeping the total flow rate (Q = 114 L/s) unchanged. Each flow case is identified by its FP discharge value, denoted as Qf. The depth-uniform flow scenario corresponds to Qf = 8 L/s. The five non-uniform flow scenarios correspond to Qf = 0, 4, 12, 16 and 20 L/s. We present here the measurements of (1) water flow depths, (2) one-point velocity measurements; and (3) two-point velocity measurements. They enabled us to explore the flow structure along the whole length of the flume, including the time-averaged flow, the turbulence statistics, and the large-scale coherent structures (Kelvin-Helmholtz vortices, large- and very-large- scale motions).","2025-03-25T11:36:53Z","RIVERLY","PROUST, SEBASTIEN; NIKORA, VLADIMIR I., 2025, ""Dataset of a laboratory study on flows in a compound open channel with transverse currents"", <a href=""https://doi.org/10.57745/HJKRYH"" target=""_blank"">https://doi.org/10.57745/HJKRYH</a>, Recherche Data Gouv, V1, UNF:6:0Ov9GOlqUlOmeV+su2c91A== [fileUNF]","riverly","RIVERLY","PROUST, SEBASTIEN; NIKORA, VLADIMIR I., 2025, ""Dataset of a laboratory study on flows in a compound open channel with transverse currents"", https://doi.org/10.57745/HJKRYH, Recherche Data Gouv, V1, UNF:6:0Ov9GOlqUlOmeV+su2c91A== [fileUNF]","inrae://10.57745/HJKRYH","river dynamics; shallow water flows; shear layer turbulence; Kelvin-Helmholtz vortices; Large-scale motions; Very-large-scale motions; Secondary flows","Earth and Environmental Sciences; Physics",157,265602,"RELEASED",1,0,"2022-12-07T15:56:02Z","2025-03-25T11:36:53Z","PROUST, SEBASTIEN; INRAE","Proust, S., &amp; Nikora, V. I. (2020). Compound open-channel flows: effects of transverse currents on the flow structure. J. Fluid Mech., 885(A24), 1-38.; https://doi.org/10.1017/jfm.2019.973","INRAE","","PROUST, SEBASTIEN; NIKORA, VLADIMIR I.","",507,24,314,1,881410,0.001
"Flow intermittence indicators from the projection simulations (1985-2100) in the Albarine DRN (France)","dataset","https://doi.org/10.57745/VA4YI0","doi:10.57745/VA4YI0","Statistical monthly and yearly flow intermittence indicators calculated from the simulated daily state of flow in the Albarine DRN (France). Indicators are provided for 3 SSP scenarios and 5 climate models on the projection periods (1985-2014 and 2015-2100).","2025-04-01T16:57:41Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Flow intermittence indicators from the projection simulations (1985-2100) in the Albarine DRN (France)"", <a href=""https://doi.org/10.57745/VA4YI0"" target=""_blank"">https://doi.org/10.57745/VA4YI0</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Flow intermittence indicators from the projection simulations (1985-2100) in the Albarine DRN (France)"", https://doi.org/10.57745/VA4YI0, Recherche Data Gouv, V2","inrae://10.57745/VA4YI0","hydrological intermittence; climate change","Earth and Environmental Sciences",401,276863,"RELEASED",2,0,"2025-02-14T18:55:56Z","2025-04-01T16:57:41Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","France; Albarine catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe","",474,40,4,2,469613805,0.437
"J2000 Hydrological model of the Vantaanjoki-Lepsämänjoki river basin (Finland)","dataset","https://doi.org/10.57745/QPF3CO","doi:10.57745/QPF3CO","J2K_Vantaanjoki: J2000 hydrological model for the Vantaanjoki river basin (which includes the Lepsämänjoki sub-basin).","2025-02-26T17:34:42Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Branger, Flora; K&uuml;nne, Annika; Kralisch, Sven, 2025, ""J2000 Hydrological model of the Vantaanjoki-Leps&auml;m&auml;njoki river basin (Finland)"", <a href=""https://doi.org/10.57745/QPF3CO"" target=""_blank"">https://doi.org/10.57745/QPF3CO</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Branger, Flora; Künne, Annika; Kralisch, Sven, 2025, ""J2000 Hydrological model of the Vantaanjoki-Lepsämänjoki river basin (Finland)"", https://doi.org/10.57745/QPF3CO, Recherche Data Gouv, V2","inrae://10.57745/QPF3CO","hydrological model","Earth and Environmental Sciences",2,276818,"RELEASED",2,1,"2025-02-14T15:29:32Z","2025-03-31T13:56:18Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Finland; Lepsämänjoki catchment,","Mimeau, Louise; Branger, Flora; Künne, Annika; Kralisch, Sven","",47,34,2,2,29008686,0.027
"J2000 Hydrological model of the Fekete-Bukkosdi river basin (Hungary)","dataset","https://doi.org/10.57745/BV1AJA","doi:10.57745/BV1AJA","J2K_Fekete: J2000 hydrological model for the Fekete river basin (which includes the Bukkosdi sub-basin).","2025-02-26T17:33:10Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Branger, Flora; K&uuml;nne, Annika; Kralisch, Sven, 2025, ""J2000 Hydrological model of the Fekete-Bukkosdi river basin (Hungary)"", <a href=""https://doi.org/10.57745/BV1AJA"" target=""_blank"">https://doi.org/10.57745/BV1AJA</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Branger, Flora; Künne, Annika; Kralisch, Sven, 2025, ""J2000 Hydrological model of the Fekete-Bukkosdi river basin (Hungary)"", https://doi.org/10.57745/BV1AJA, Recherche Data Gouv, V2","inrae://10.57745/BV1AJA","hydrological model","Earth and Environmental Sciences",2,276819,"RELEASED",2,1,"2025-02-14T15:25:18Z","2025-03-31T13:57:16Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Hungary; Bükkösdi catchment,","Mimeau, Louise; Branger, Flora; Künne, Annika; Kralisch, Sven","",35,29,1,1,26399240,0.025
"J2000 Hydrological model of the Ain-Albarine river basin (France)","dataset","https://doi.org/10.57745/II6DMA","doi:10.57745/II6DMA","J2K_Ain: J2000 hydrological model for the Ain river basin (which includes the Albarine sub-basin).","2025-02-26T17:31:27Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Branger, Flora; K&uuml;nne, Annika; Kralisch, Sven, 2025, ""J2000 Hydrological model of the Ain-Albarine river basin (France)"", <a href=""https://doi.org/10.57745/II6DMA"" target=""_blank"">https://doi.org/10.57745/II6DMA</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Branger, Flora; Künne, Annika; Kralisch, Sven, 2025, ""J2000 Hydrological model of the Ain-Albarine river basin (France)"", https://doi.org/10.57745/II6DMA, Recherche Data Gouv, V2","inrae://10.57745/II6DMA","hydrological model","Earth and Environmental Sciences",2,276820,"RELEASED",2,1,"2025-02-14T15:16:37Z","2025-03-31T13:58:35Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","France; Albarine catchment,","Mimeau, Louise; Branger, Flora; Künne, Annika; Kralisch, Sven","",39,32,1,1,58394095,0.054
"Downscaled climate projections (1970-2100) for the 6 European catchments studied in the DRYvER project","dataset","https://doi.org/10.57745/CPIKSQ","doi:10.57745/CPIKSQ","Downscaled projections of temperature, precipitation, and reference evapotranspiration for the 6 studied European catchments. 3 SSP scenarios and 5 climate models.","2025-03-20T15:40:41Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Devers, Alexandre; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Downscaled climate projections (1970-2100) for the 6 European catchments studied in the DRYvER project"", <a href=""https://doi.org/10.57745/CPIKSQ"" target=""_blank"">https://doi.org/10.57745/CPIKSQ</a>, Recherche Data Gouv, V1","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Devers, Alexandre; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Downscaled climate projections (1970-2100) for the 6 European catchments studied in the DRYvER project"", https://doi.org/10.57745/CPIKSQ, Recherche Data Gouv, V1","inrae://10.57745/CPIKSQ","spatial downscaling; climate change","Earth and Environmental Sciences",1,276835,"RELEASED",1,1,"2025-03-20T15:03:05Z","2025-03-31T14:15:10Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","France; Albarine catchment,; Hungary; Bükkösdi catchment,; Croatia; Butiznica catchment,; Spain; Genal catchment,; Finland; Lepsämänjoki catchment,; Czech Republic; Velička catchment,","Devers, Alexandre; Lauvernet, Claire; Vidal, Jean-Philippe","",30,21,0,0,1375,0
"Simulated hydrological variables and flow intermittence indicators for the projection period (1985-2100) for the 6 European catchments studied in the DRYvER project","dataset","https://doi.org/10.57745/5JDNWF","doi:10.57745/5JDNWF","Hydrological models outputs for the projection period (1985-2100) for the 6 European catchments studied in the DRYvER project.","2025-03-20T15:48:41Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Simulated hydrological variables and flow intermittence indicators for the projection period (1985-2100) for the 6 European catchments studied in the DRYvER project"", <a href=""https://doi.org/10.57745/5JDNWF"" target=""_blank"">https://doi.org/10.57745/5JDNWF</a>, Recherche Data Gouv, V1","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Simulated hydrological variables and flow intermittence indicators for the projection period (1985-2100) for the 6 European catchments studied in the DRYvER project"", https://doi.org/10.57745/5JDNWF, Recherche Data Gouv, V1","inrae://10.57745/5JDNWF","climate change; hydrological simulations; hydrological intermittence","Earth and Environmental Sciences",1,276842,"RELEASED",1,1,"2025-03-20T14:41:19Z","2025-03-31T14:21:34Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","France; Albarine catchment,; Hungary; Bükkösdi catchment,; Croatia; Butiznica catchment,; Spain; Genal catchment,; Finland; Lepsämänjoki catchment,; Czech Republic; Velička catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe","",42,26,0,0,2481,0
"Hydrological projections (1985-2100) of the Bükkösdi DRN (Hungary)","dataset","https://doi.org/10.57745/BLQKZW","doi:10.57745/BLQKZW","Hydrological model outputs at daily time step for the projection simulations (1985-2100) in the Bükkösdi DRN (Hungary). Simulated discharge, baseflow an state of flow (flowing/dry) is spatially distributed at the reach scale. Other hydroclimatic variables (temperature, precipitation, rainfall, snowfall, potential evapotranspiration, actual evapotranspiration, vegetation interception, snow water equivalent, saturation of the soil layer, saturation of the grounwater layer) are spatially aggregated at the catchment scale. Hydrological projections were produced for 3 SSP scenarios and 5 climate models.","2025-04-01T17:03:21Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Hydrological projections (1985-2100) of the B&uuml;kk&ouml;sdi DRN (Hungary)"", <a href=""https://doi.org/10.57745/BLQKZW"" target=""_blank"">https://doi.org/10.57745/BLQKZW</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe, 2025, ""Hydrological projections (1985-2100) of the Bükkösdi DRN (Hungary)"", https://doi.org/10.57745/BLQKZW, Recherche Data Gouv, V2","inrae://10.57745/BLQKZW","hydrological intermittence; hydrological simulations; climate change","Earth and Environmental Sciences",81,276864,"RELEASED",2,0,"2025-02-14T18:19:04Z","2025-04-01T17:03:21Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Hungary; Bükkösdi catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Lauvernet, Claire; Vidal, Jean-Philippe","",23,17,2,1,2237427691,2.084
"Hydrological reconstruction (1960-2021) of the Bükkösdi DRN (Hungary)","dataset","https://doi.org/10.57745/SLQKXX","doi:10.57745/SLQKXX","Hydrological model outputs at daily time step for the reconstruction period (1960-2021) in the Bükkösdi DRN (Hungary). Simulated discharge, baseflow an state of flow (flowing/dry) is spatially distributed at the reach scale. Other hydroclimatic variables (temperature, precipitation, rainfall, snowfall, potential evapotranspiration, actual evapotranspiration, vegetation interception, snow water equivalent, saturation of the soil layer, saturation of the grounwater layer) are spatially aggregated at the catchment scale.","2025-04-01T17:30:03Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the B&uuml;kk&ouml;sdi DRN (Hungary)"", <a href=""https://doi.org/10.57745/SLQKXX"" target=""_blank"">https://doi.org/10.57745/SLQKXX</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Bükkösdi DRN (Hungary)"", https://doi.org/10.57745/SLQKXX, Recherche Data Gouv, V2","inrae://10.57745/SLQKXX","hydrological intermittence; hydrological simulations","Earth and Environmental Sciences",5,276876,"RELEASED",2,0,"2025-02-14T16:22:22Z","2025-04-01T17:30:03Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Hungary; Bükkösdi catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe","",23,19,1,1,97932996,0.091
"Hydrological reconstruction (1960-2021) of the Lepsämänjoki DRN (Finland)","dataset","https://doi.org/10.57745/EJG7KJ","doi:10.57745/EJG7KJ","Hydrological model outputs at daily time step for the reconstruction period (1960-2021) in the Lepsämänjoki DRN (Finland). Simulated discharge, baseflow an state of flow (flowing/dry) is spatially distributed at the reach scale. Other hydroclimatic variables (temperature, precipitation, rainfall, snowfall, potential evapotranspiration, actual evapotranspiration, vegetation interception, snow water equivalent, saturation of the soil layer, saturation of the grounwater layer) are spatially aggregated at the catchment scale.","2025-04-01T17:30:05Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Leps&auml;m&auml;njoki DRN (Finland)"", <a href=""https://doi.org/10.57745/EJG7KJ"" target=""_blank"">https://doi.org/10.57745/EJG7KJ</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Lepsämänjoki DRN (Finland)"", https://doi.org/10.57745/EJG7KJ, Recherche Data Gouv, V2","inrae://10.57745/EJG7KJ","hydrological intermittence; hydrological simulations","Earth and Environmental Sciences",5,276877,"RELEASED",2,0,"2025-02-14T16:34:24Z","2025-04-01T17:30:05Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Finland; Lepsämänjoki catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe","",18,17,1,1,168157013,0.157
"Hydrological reconstruction (1960-2021) of the Butiznica DRN (Croatia)","dataset","https://doi.org/10.57745/1XGAMX","doi:10.57745/1XGAMX","Hydrological model outputs at daily time step for the reconstruction period (1960-2021) in the Butiznica DRN (Croatia). Simulated discharge, baseflow an state of flow (flowing/dry) is spatially distributed at the reach scale. Other hydroclimatic variables (temperature, precipitation, rainfall, snowfall, potential evapotranspiration, actual evapotranspiration, vegetation interception, snow water equivalent, saturation of the soil layer, saturation of the grounwater layer) are spatially aggregated at the catchment scale.","2025-04-01T17:30:07Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Butiznica DRN (Croatia)"", <a href=""https://doi.org/10.57745/1XGAMX"" target=""_blank"">https://doi.org/10.57745/1XGAMX</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Butiznica DRN (Croatia)"", https://doi.org/10.57745/1XGAMX, Recherche Data Gouv, V2","inrae://10.57745/1XGAMX","hydrological intermittence; hydrological simulations","Earth and Environmental Sciences",5,276878,"RELEASED",2,0,"2025-02-14T16:26:33Z","2025-04-01T17:30:07Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Croatia; Butiznica catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe","",16,15,1,1,293459927,0.273
"Hydrological reconstruction (1960-2021) of the Genal DRN (Spain)","dataset","https://doi.org/10.57745/VXBMAF","doi:10.57745/VXBMAF","Hydrological model outputs at daily time step for the reconstruction period (1960-2021) in the Genal DRN (Spain). Simulated discharge, baseflow an state of flow (flowing/dry) is spatially distributed at the reach scale. Other hydroclimatic variables (temperature, precipitation, rainfall, snowfall, potential evapotranspiration, actual evapotranspiration, vegetation interception, snow water equivalent, saturation of the soil layer, saturation of the grounwater layer) are spatially aggregated at the catchment scale.","2025-04-01T17:30:09Z","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; K&uuml;nne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Genal DRN (Spain)"", <a href=""https://doi.org/10.57745/VXBMAF"" target=""_blank"">https://doi.org/10.57745/VXBMAF</a>, Recherche Data Gouv, V2","DRYvER-WP1-DRN-EU","DRYvER-WP1 Hydrological modelling catchment scale Europe","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe, 2025, ""Hydrological reconstruction (1960-2021) of the Genal DRN (Spain)"", https://doi.org/10.57745/VXBMAF, Recherche Data Gouv, V2","inrae://10.57745/VXBMAF","hydrological intermittence; hydrological simulations","Earth and Environmental Sciences",5,276879,"RELEASED",2,0,"2025-02-14T16:29:43Z","2025-04-01T17:30:09Z","Mimeau, Louise; INRAE, UR RiverLy, Villeurbanne, France","Mimeau, L., Künne, A., Branger, F., Kralisch, S., Devers, A., and Vidal, J.-P.: Flow intermittence prediction using a hybrid hydrological modelling approach: influence of observed intermittence data on the training of a random forest model, Hydrol. Earth Syst. Sci. 2024; Mimeau, L., Künne, A., Devers, A., Branger, F., Kralisch, S., Lauvernet, C., Vidal, J.-P., Bonada, N., Csabai, Z., Mykrä, H., Pařil, P., Polović, L., and Datry, T.: Projections of streamflow intermittence under climate change in European drying river networks, Hydrol. Earth Syst. Sci. 2025","DRYvER","Spain; Genal catchment,","Mimeau, Louise; Künne, Annika; Devers, Alexandre; Branger, Flora; Kralisch, Sven; Vidal, Jean-Philippe","",24,19,1,1,164485085,0.153
