"dataset_DOI","url","name","citation","description","identifier_of_dataverse","subjects","keywords","fileCount","createdAt","authors","viewsTotal","viewsUnique","downloadsTotal","downloadsUnique","storage_size_bytes","storage_size_GB"
"doi:10.57745/6VR1SR","https://doi.org/10.57745/6VR1SR","Safran Hydro","Caillouet, Laurie; Vidal, Jean-Philippe; Sauquet, Eric; Devers, Alexandre; Graff, Benjamin, 2023, ""Safran Hydro"", https://doi.org/10.57745/6VR1SR, Recherche Data Gouv, V1","The hydrological reconstruction over France – called Safran Hydro – provides daily derministic streamflow over 662 near-natural catchments of France over the 1 August 1958 to 31 July 2014 period. The Safran Hydro reconstruction originated from the GR6J model using the temperature, precipitation and evapotranspiration of the widely used Safran reanalysis as inputs.","riverly","Earth and Environmental Sciences","reconstruction, hydrology, france",5,"2023-02-01T09:34:24Z","Caillouet, Laurie; Vidal, Jean-Philippe; Sauquet, Eric; Devers, Alexandre; Graff, Benjamin",311,169,78,20,60282348,0.056
"doi:10.57745/IEQVN6","https://doi.org/10.57745/IEQVN6","Dataset of a laboratory experiment on the pollutant transport in a flooded street network under steady flow regime","FAGOUR, Clement; Mignot, Emmanuel; Proust, Sébastien, 2024, ""Dataset of a laboratory experiment on the pollutant transport in a flooded street network under steady flow regime"", https://doi.org/10.57745/IEQVN6, Recherche Data Gouv, V1, UNF:6:mGCKWUBrJyw1GeXA++VsYg== [fileUNF]","This dataset includes both measurements of velocity and concentration distributions, collected on a physical model. The 1:50 scale model in the horizontal plane, representing an urban area (one city block surrounded by four streets), is 5.4 m long and 3.8 m wide with a longitudinal slope (Sx = 0.12%). All the street cross-sections are rectangular (width b = 15 cm, and height of 15 cm). The experiments were performed under steady flow and pollutant release conditions. The total inlet discharge, Qi1+Qi2 = 6.5 l/s, was partitioned between the inflow in the Right street (Qi1 = 4.5 l/s) and Left street (Qi2 = 2.0 l/s). 1/ The experimental dataset for the pollutant consists in: (i) 4 time-averaged pollutant outflow discharges for 19 pollutant release locations; (ii) Time-averaged concentration distributions across the 5 sections S1 to S5 for one release location (""cu""); (iii) Transverse profiles of the depth and time averaged concentration for the release locations ""cu"", ""lu"", ""ru"" across S1 and for ""cu' "" across S6. (iv) Time-averaged concentration distribution across S1 for ""cu"" in a straight single street. 2/ The experimental velocity dataset consists in: (i) Time-averaged streamwise velocity distributions across S1 to S5. The distributions of the time-averaged transverse and vertical velocities, and the transverse Reynolds shear stress are only available for sections S3 to S5. (ii) Time-averaged surface velocities within the 4 intersections.","riverly","Earth and Environmental Sciences; Physics","Urban flooding; Pollution; Mixing; Dispersion; Concentration; Intersections",18,"2024-07-15T12:23:51Z","FAGOUR, Clement; Mignot, Emmanuel; Proust, Sébastien",82,48,2,1,269605001,0.251
"doi:10.57745/EKCG4J","https://doi.org/10.57745/EKCG4J","Data used for the research paper Laible et al. (2023)","Laible, Jessica; Camenen, Benoît; Le Coz, Jérôme; Pierrefeu, Gilles; Mourier, Brice; Lauters, François; Dramais, Guillaume, 2023, ""Data used for the research paper Laible et al. (2023)"", https://doi.org/10.57745/EKCG4J, Recherche Data Gouv, V1","Data used in the research paper: ""Comparison of grain size distribution measurements of sand‑silt mixtures using laser diffraction systems""","riverly","Earth and Environmental Sciences","",12,"2023-03-06T08:09:30Z","Laible, Jessica; Camenen, Benoît; Le Coz, Jérôme; Pierrefeu, Gilles; Mourier, Brice; Lauters, François; Dramais, Guillaume",192,112,28,6,411492,0
"doi:10.57745/MYYIIM","https://doi.org/10.57745/MYYIIM","Dataset associated to ""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment""","RECOURA-MASSAQUANT, REMI, 2024, ""Dataset associated to ""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment"""", https://doi.org/10.57745/MYYIIM, Recherche Data Gouv, V1","The dataset comprises bioavailable chemical contamination data (bioaccumulated contamination levels measured in caged Gammarus fossarum), resulting from biomonitoring survey acquired from French water agencies in 2019. These data were used in the research paper :""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment.""","riverly","Earth and Environmental Sciences","Gammarus; Active biomonitoring; chemical contamination",2,"2024-07-04T15:02:18Z","RECOURA-MASSAQUANT, REMI",16,12,0,0,537400,0.001
"doi:10.57745/TCE1KI","https://doi.org/10.57745/TCE1KI","Hydroperiod is a key driver of alpine pond communities along an altitudinal gradient in the French Alps and Pyrenees","Lamouille-Hébert, Marie; Arthaud, Florent; Besnard, Aurélien; Logez, Maxime; Datry, Thibault, 2024, ""Hydroperiod is a key driver of alpine pond communities along an altitudinal gradient in the French Alps and Pyrenees"", https://doi.org/10.57745/TCE1KI, Recherche Data Gouv, V1","Data repository for ‘Hydroperiod is a key driver of alpine pond communities along an altitudinal gradient in the French Alps and Pyrenees’ (in prep) Abstract: alpine pond species are particularly vulnerable to the effects of climate change, such as warming, drying and isolation. While the role of temperature and hydroperiod in structuring communities along an altitudinal gradient has been demonstrated in alpine lakes or rivers, very few studies have been conducted in alpine ponds, and the role of hydroperiod is actively debated. To understand which environmental factors structure alpine pond communities, we investigated the relationship between three biotic groups (Odonata, Amphibia and macrophytes) and their environment in 500 ponds in the French Alps and Pyrenees. As predicted, most communities varied along an altitudinal gradient, though not uniformly within the alpine biogeographic region. We also showed that hydroperiod is a key determinant of community variation in alpine ponds common to all geographic zones in the alpine biogeographic area. Finally, we demonstrated that connectivity between ponds should be maintained to conserve alpine specialist communities and mediate the effects of temperature and hydroperiod in the context of climate change. In order to design effective conservation measures for alpine pond communities, further research is needed on the drought resistance of non-permanent pond communities and on the connectivity between alpine ponds.","riverly","Earth and Environmental Sciences","biodiversity; macrophytes; Amphibia; Odonata; climate change; freshwater",31,"2024-12-14T17:24:55Z","Lamouille-Hébert, Marie; Arthaud, Florent; Besnard, Aurélien; Logez, Maxime; Datry, Thibault",103,34,35,3,26421115,0.025
"doi:10.57745/KRY5DX","https://doi.org/10.57745/KRY5DX","Hydroacoustic amplitude and velocity data","Marggraf, Jessica; Le Coz, Jérôme; Camenen, Benoît; Lauters, Francois; Dramais, Guillaume; Pierrefeu, Gilles; Topping, David, 2024, ""Hydroacoustic amplitude and velocity data"", https://doi.org/10.57745/KRY5DX, Recherche Data Gouv, V1","Continuous hydroacoustic amplitude and velocity measurements from April 2021 to June 2023 in the Isère River at Grenoble Campus, France","riverly","Earth and Environmental Sciences","",21,"2024-03-07T14:25:06Z","Marggraf, Jessica; Le Coz, Jérôme; Camenen, Benoît; Lauters, Francois; Dramais, Guillaume; Pierrefeu, Gilles; Topping, David",107,92,0,0,1285487661,1.197
"doi:10.57745/4HK78J","https://doi.org/10.57745/4HK78J","HydRE","Devers, Alexandre; Vidal, Jean-Philippe; Lauvernet, Claire; Vannier, Olivier, 2023, ""HydRE"", https://doi.org/10.57745/4HK78J, Recherche Data Gouv, V1","The hydrological reconstruction over France – called HydRE (Hydrological REconstructions) – provides daily ensemble streamflow over 661 near-natural catchments of France over the 1871-2012 period. The HydRE reconstruction originated from the GR6J model using the temperature and precipitation of FYRE Climate reanalysis and evapotranspiration of the SCOPE Climate reconstruction as inputs.","riverly","Earth and Environmental Sciences","",5,"2023-02-01T09:36:48Z","Devers, Alexandre; Vidal, Jean-Philippe; Lauvernet, Claire; Vannier, Olivier",216,130,46,11,3704759056,3.45
"doi:10.57745/SQGD3U","https://doi.org/10.57745/SQGD3U","171 ADCP gaugings from 45 teams during the Sault-Brénaz regatta (France, November 2023)","Groupe Doppler Hydrométrie; Blaise Calmel; Jérôme Le Coz; Aurélien Despax; Alexandre Hauet, 2024, ""171 ADCP gaugings from 45 teams during the Sault-Brénaz regatta (France, November 2023)"", https://doi.org/10.57745/SQGD3U, Recherche Data Gouv, V1","The moving-boat ADCP regatta organized by Groupe Doppler Hydrométrie on November 15, 2023 attracted over 130 participants. They were divided in 45 teams from various European countries (Germany, France, Great Britain, Luxembourg, Poland, Slovakia, Sweden, Czech Republic). This intercomparison enabled 57 ADCP to be tested on a straight channel near the Rhône at Sault-Brénaz. They carried out nearly 170 ADCP gaugings over the course of four sessions spread throughout the day: two in the morning (S1a and S1b) and two in the afternoon (S2a and S2b). Mean measured discharge was 2.1 m3/s for a velocity close to 40 cm/s. The Sault-Brénaz canal is 8 meters wide and almost a meter deep, with little vegetation, clear water and a steady flow, providing favorable conditions for ADCP measurements. Teams were advised to post-process their measurements with QRevInt 1.18. Users were free to select settings that seemed appropriate to them (navigation reference bottom track or GPS, extrapolation method/exponent, distance to the banks). This experiment allows to test the proper calibration of ADCPs and also to identify sources of error in these measurement conditions. Data is divided into 4 folders corresponding to the sessions. Subfolders are named according to the convention Session_Team_Section_Model of each ADCP measurement. Each sub-folder corresponds to a team measurement during a session and contains ADCP raw data. File extension is *.mmt for Teledyne RD instruments and *.mat for Xylem - SonTek instruments. Raw ADCP file can be opened with QRevInt software (https://www.genesishydrotech.com/qrevint). ADCP dataset can be processed with QRame software (https://gdh-hydrometrie.org/boite-a-outils/logiciels/qrame-2/)","riverly","Earth and Environmental Sciences","Hydrometry",1,"2024-04-03T12:40:22Z","Groupe Doppler Hydrométrie; Blaise Calmel; Jérôme Le Coz; Aurélien Despax; Alexandre Hauet",197,96,26,22,1720719525,1.603
"doi:10.57745/YJPBUF","https://doi.org/10.57745/YJPBUF","Hydrological monitoring of a Sewer Overflow Device in Grézieu-la-Varenne (since 1997).","Lagouy, Mickaël; Breil, Pascal; Branger, Flora, 2022, ""Hydrological monitoring of a Sewer Overflow Device in Grézieu-la-Varenne (since 1997)."", https://doi.org/10.57745/YJPBUF, Recherche Data Gouv, V1","Continuous monitoring of the sewer overflow device in Grézieu La Varenne on the Chaudanne river, as part of the Field Observatory for Urban Water Management (OTHU). Monitoring of the discharge in the sewer overflow device, in the Chaudanne river upstream and downstream of the SOD, and in the sewer network.","riverly","Earth and Environmental Sciences","sewer overflow; urban hydrology; hydrology",0,"2022-10-07T20:02:59Z","Lagouy, Mickaël; Breil, Pascal; Branger, Flora",107,85,0,0,0,0
"doi:10.57745/VVQ2X9","https://doi.org/10.57745/VVQ2X9","Rainfall monitoring on the Yzeron catchment since 1997","Lagouy, Mickaël; Branger, Flora; Breil, Pascal, 2022, ""Rainfall monitoring on the Yzeron catchment since 1997"", https://doi.org/10.57745/VVQ2X9, Recherche Data Gouv, V1","Continuous monitoring of meteorological data (rainfall, air temperature, additional variables) on the Yzeron catchment since 1997, as part of the Field Observatory for Urban Water Management","riverly","Earth and Environmental Sciences","urban hydrology; peri-urban areas; hydrology; bassin versant experimental",0,"2022-10-07T19:51:55Z","Lagouy, Mickaël; Branger, Flora; Breil, Pascal",109,82,0,0,0,0
"doi:10.57745/LNBEGZ","https://doi.org/10.57745/LNBEGZ","MAKAHO : Analyse de tendances hydrologiques du RRSE","HERAUT, Louis; LANG, Michel; RENARD, Benjamin; SAUQUET, Eric; VIDAL, Jean-Philippe, 2024, ""MAKAHO : Analyse de tendances hydrologiques du RRSE"", https://doi.org/10.57745/LNBEGZ, Recherche Data Gouv, V3, UNF:6:AVc3GLx35yMuQgsk7swZGA== [fileUNF]","MAKAHO (pour MAnn-Kendall Analysis of Hydrological Observations) est un système de visualisation cartographique interactif permettant de calculer les tendances présentes dans les données des stations hydrométriques aux débits peu influencés par les actions humaines. Le test de Mann-Kendall permet d’analyser la significativité des tendances de variables hydrologiques sur les différentes composantes du régime des cours d'eau (étiages, moyennes-eaux, crues), à mettre ensuite en relation avec les impacts du changement climatique sur l’hydrologie de surface. Le jeu de donnée présenté ici correspond à un échantillon représentatif de ce que peut produire MAKAHO sur la période 1968 - 2020. MAKAHO (for MAnn-Kendall Analysis of Hydrological Observations) is an interactive cartographic visualization system designed to calculate trends present in data from streamflow gauging stations with minimal human influence. The Mann-Kendall test is used to analyze the significance of trends in hydrological variables across different components of streamflow regimes (low flows, mean flows, high flows), which are then related to the impacts of climate change on surface hydrology. The dataset presented here is a representative sample of what MAKAHO can produce on the period 1968 - 2020.","riverly","Earth and Environmental Sciences","analyse de tendance; hydrologie de surface; changement climatique; étiage; régime de crue; disponibilité en eau; test de Mann-Kendall; RRSE",69,"2024-05-19T03:11:36Z","HERAUT, Louis; LANG, Michel; RENARD, Benjamin; SAUQUET, Eric; VIDAL, Jean-Philippe",608,253,157,11,303970663,0.283
"doi:10.57745/YTCYSX","https://doi.org/10.57745/YTCYSX","Suspended sediment measurements in the Isère River at Grenoble Campus","Marggraf, Jessica; Camenen, Benoît; Le Coz, Jérôme; Dramais, Guillaume; Lauters, François; Pierrefeu, Gilles, 2023, ""Suspended sediment measurements in the Isère River at Grenoble Campus"", https://doi.org/10.57745/YTCYSX, Recherche Data Gouv, V1","Suspended sediment measurements, including information on sand and fine sediment concentration and grain size, ADCP and bedload measurements","riverly","Earth and Environmental Sciences","Suspended sediment; Suspended sand; Sand; River; ADCP",139,"2023-08-31T13:14:54Z","Marggraf, Jessica; Camenen, Benoît; Le Coz, Jérôme; Dramais, Guillaume; Lauters, François; Pierrefeu, Gilles",792,179,569,5,275319785,0.256
"doi:10.57745/5TDKA4","https://doi.org/10.57745/5TDKA4","Transcriptome assembly, open reading frames (ORF) predictions  and protein catalogues of two aquatic sentinel species : Palaemon serratus and Dreissena polymorpha","DEGLI ESPOSTI, DAVIDE; LEPRÊTRE, MAXIME; SUGIER, KEVIN; XUEREB, BENOÎT; GEFFARD, ALAIN; PALOS-LADEIRO, MELISSA; GEFFARD, OLIVIER; CHAUMOT, ARNAUD, 2023, ""Transcriptome assembly, open reading frames (ORF) predictions and protein catalogues of two aquatic sentinel species : Palaemon serratus and Dreissena polymorpha"", https://doi.org/10.57745/5TDKA4, Recherche Data Gouv, V2, UNF:6:o4tYRQ2HbmsLY+L0FVBRLg== [fileUNF]","This dataset comprises RNA sequences from two well-established aquatic sentinel species, Dreissena polymorpha (a mollusk bivalve) and Palaemon serratus (a crustacean decapod), which are commonly used as bioindicators of environmental health. In addition, the dataset included the prediction of open reading frames (ORFs) of these reference transcriptomes, which can aid in the interpretation of mass spectra during proteogenomic analyses.","riverly","Earth and Environmental Sciences; Medicine, Health and Life Sciences","Sentinel Species; Ecotoxicology; Transcriptomes; Protein predictions",8,"2023-03-09T11:32:35Z","DEGLI ESPOSTI, DAVIDE; LEPRÊTRE, MAXIME; SUGIER, KEVIN; XUEREB, BENOÎT; GEFFARD, ALAIN; PALOS-LADEIRO, MELISSA; GEFFARD, OLIVIER; CHAUMOT, ARNAUD",242,127,3,3,1094430305,1.019
"doi:10.17180/obs.draix","https://doi.org/10.17180/obs.draix","Observatoire Draix-Bleone","Le Bouteiller, Caroline; Klotz, Sébastien; Liébault, Frédéric; Estèves, Michel, 2024, ""Observatoire Draix-Bleone"", https://doi.org/10.17180/obs.draix, Recherche Data Gouv, V1","L’observatoire Draix-Bléone a été créé en 1983 pour étudier l’érosion et le transport solide en zone de montagne. Il est situé à l’amont de Digne, en rive gauche (site de Draix) et rive droite (site du Galabre) de la Bléone. Plusieurs bassins versants sont équipés pour la mesure des flux d’eau et de sédiments fins et grossiers, avec des échelles spatiales allant du versant (0.001 km2) jusqu’au bassin de moyenne échelle (20 km2) et des occupations du sol contrastées. Les plus petits bassins sont entièrement situés sur des marnes noires très sensibles à l’érosion, formant des reliefs de « badlands », tandis que les bassins du Galabre et du Bouinenc intègrent une diversité lithologique et d’occupation du sol représentative des Préalpes. Le climat est de type montagnard-méditerranéen. Ces sites sont caractérisés par une érosion intense et des exports sédimentaires très intermittents dont les trajectoires d’évolution dans le contexte de changement global sont au coeur des questions de l’observatoire. Les variables suivies incluent les précipitations et la météorologie, les débits liquides et les concentrations en matières en suspension à haute fréquence (1 à 10 min), les volumes charriés à l’échelle de la crue et quelques caractéristiques physico-chimiques de l’eau de rivière mesurées bimensuellement. Cet observatoire est co-porté par l’IGE et INRAE/ETNA avec le soutien financier de l’INSU, l’INRAE et l’OSUG. Il est également membre de l’infrastructure de Recherches OZCAR. Le GIS Draix-Bléone rassemble les équipes de recherche impliquées sur l’observatoire. Pour en savoir plus : https://draixbleone.osug.fr Sites expérimentaux Draix Sur le site de Draix, cinq petits bassins ont été équipés entre 1983 et 1988 pour la mesure des pluies, des débits et des transports solides par charriage ou en suspension: le Laval (86 ha), le Francon (76 ha), le Brusquet (108 ha), le Moulin (8 ha) et la Roubine (0,133 ha) . Les pluies sont mesurées à l'aide de pluviographes répartis à l'aval et à l'amont de chaque bassin. Des pièges à sédiments (ou plages de dépôts) protègent à l'aval les stations limnigraphiques contre des transports solides très importants. Ils permettent également la mesure, par des méthodes topographiques, des volumes déposés après chaque crue. Dans la station de mesure, des limnigraphes de différents types mesurent les hauteurs d'écoulement dans des sections de contrôle ou des canaux auto-jaugeurs. La mesure des concentrations en sédiments fins qui transitent dans la station est réalisée également, au moyen de divers procédés : prélèvements d'échantillons, procédés optiques, mesures de pression. L'équipement de ces sites a nécessité le test et l'adaptation de nombreux matériels, voire la conception de matériel nouveau : limnigraphe à comptage d'impulsions (Ellan), turbidimètre à rétrodiffusion optique, turbidimètre à capteurs de pression différentielle. Un bassin de taille plus importante (le Bouinenc, 22 km²) est équipé depuis 2009 pour la mesure des débits et des transports solides en suspension. Galabre Le Galabre est un affluent du Bès, lui même affluent de la Bléone à l'amont de Digne les bains. Le site du Galabre est un bassin instrumenté dont l'exutoire est situé au niveau de la commune de la Robine sur Galabre, drainant une surface de 22 km². Les sols du bassin versant sont peu profonds et développés sur une lithologie comprenant marnes noires, calcaires, gypses et molasses. Le site est équipé pour la mesure des pluies, des débits liquides, des transports solides par suspension et de la charge dissoute. Les pluies sont mesurées à l'aide de 2 pluviographes répartis à l'aval et à l'amont du bassin. Les autres variables météorologiques (températures, humidités, rayonnement, vitesse du vent) sont mesurées à l'aval du bassin. Sont mesurées au niveau de la station située sur le Galabre, les températures et conductivités électriques de l'eau, les débits liquides par combinaison des mesures effectuées par un radar de hauteur d'eau avec une relation de calibration hauteur-débit ainsi que la charge solide en suspension par combinaison de mesures optiques de la turbidité de l'eau avec des mesure des concentrations en matières en suspension réalisées sur des échantillons collectés par un préleveur automatique. Test_site Il s'agit d'un faux site servant uniquement à faire des calculs et tests sur des données.","BDOH","Earth and Environmental Sciences","basin versant expérimental; hydrology; erosion; badlands; sediment transport; environmental engineering; mountain; geomorphology; flash flood",0,"2024-10-16T12:47:30Z","Le Bouteiller, Caroline; Klotz, Sébastien; Liébault, Frédéric; Estèves, Michel",56,43,0,0,0,0
"doi:10.17180/obs.oracle","https://doi.org/10.17180/obs.oracle","Données principales de l'observatoire ORACLE","Tallec, Gaëlle; Ansart, Patrick; Guérin, Alain; Delaigue, Olivier; Blanchouin, Arnaud, 2024, ""Données principales de l'observatoire ORACLE"", https://doi.org/10.17180/obs.oracle, Recherche Data Gouv, V1","La base de données BDOH_ORACLE© met à disposition l'ensemble des chroniques produites et gérées par INRAE sur ORACLE, Observatoire de Recherche qui a pour objectif scientifique le fonctionnement et la modélisation hydrologique et biogéochimique des bassins sédimentaires à dominante rurale et fortement anthropisés sous climat océanique tempéré. Les approches développées sont caractéristiques du fonctionnement de ces milieux mais aussi des enjeux sociaux économiques importants liés à la dégradation de la qualité du milieu naturel et à la prévision et la prévention des risques hydrologiques (crues et étiages). Cette recherche passe par l'observation multi-variables et multi-échelles d'un ensemble de sous-bassins versants emboîtés (1 km² à 1 800 km²) du bassin parisien. Situé à 70 km à l'est de Paris, ORACLE est constitué par les bassins versants du Grand Morin et du Petit Morin et le bassin versant de l'Orgeval (sous-bassin du Grand Morin). L'ensemble des compartiments hydrologiques et hydriques d’ORACLE sont suivis via un réseau de mesure complet : stations limnimétriques à l'exutoire de chaque sous-bassin et dans le réseau de drainage, stations piézométriques, stations pluviométriques réparties sur l'ensemble d’ORACLE et stations d'humidité des sols en surface et en profondeur. Ce dispositif est doublé d'un réseau de mesure de la qualité des eaux de surface, de pluie et de la nappe, ainsi que d'une station météorologique complète. Sur le bassin versant de l’Orgeval (104 km²), les chroniques de débit et de qualité de l’eau sont disponibles respectivement depuis 1962 et 1978. L'antériorité de ces chroniques en fait un site d’exception et permet une approche statistique des phénomènes et des évolutions du paysage et du climat. Un réseau de mesures dit « de base » est maintenu en permanence sur l'observatoire ORACLE. Ces données sont acquises par la DRIEE Île-de-France, Météo-France et INRAE. Actuellement, seules les données gérées par INRAE sont accessibles via BD_OH. Météo-France (support.inspire@meteo.fr) et la DRIEE Île-de-France (hydro@developpement-durable.gouv.fr) doivent être directement contactés pour les observations complémentaires concernant l'observatoire ORACLE. Sites expérimentaux Bassin Versant de l'Orgeval L'Orgeval est un affluent du Grand Morin. Son bassin de 104 km² est instrumenté et géré par INRAE depuis 1962. Bassin versant du Grand Morin Le Grand Morin est l'un des principal affluent de la Marne. Son bassin (1190 km2) est instrumenté par la DRIEE Ile-de-France, Météo-France et INRAE. Bassin versant du Petit Morin Le Petit Morin est l'un des principal affluent de la Marne avec le Grand Morin. Son bassin de 622 km2 est instrumenté par la DRIEE Ile-de-France, Météo-France. Hors ORACLE Il existe deux stations d'humidité du sol en limite de l'observatoire géré par INRAE (Voulton-TDR et Suizy-TDR).","BDOH","Earth and Environmental Sciences","bassin versant expérimental; rural area; zone critique; hydrology; biogeochemistry; hydrogeology; meteorology; climatology",0,"2024-10-16T16:52:34Z","Tallec, Gaëlle; Ansart, Patrick; Guérin, Alain; Delaigue, Olivier; Blanchouin, Arnaud",60,49,0,0,0,0
"doi:10.17180/obs.ohm-cv.gardons","https://doi.org/10.17180/obs.ohm-cv.gardons","OHM-CV mesures sur les Gardons","Didon-Lescot, Jean-François; Ayral, Pierre-Alain; Grard, Nadine, 2024, ""OHM-CV mesures sur les Gardons"", https://doi.org/10.17180/obs.ohm-cv.gardons, Recherche Data Gouv, V1","L'Observatoire Hydro-météorologique Méditerranéen Cévennes-Vivarais vise à fédérer les compétences de chercheurs de disciplines variées (météorologie, hydrologie, géophysique, géographie, mathématiques appliquées, socio-économie... ) pour améliorer les connaissances et les capacités de prévision du risque hydro-météorologique associé aux pluies intenses et aux crues éclairs. Plusieurs instituts et laboratoires contribuent à l'acquisition de données météorologiques et hydrologiques: La contribution de l'Irstea de Lyon consiste à mettre en service et assurer la maintenance et continuer le développement d'un réseau de stations de mesures sans contact du débit des rivières (mesure des vitesses de surface par la méthode LSPIV, et mesures de hauteur d'eau par capteur radar) sur le bassin versant de l'Ardèche. La contribution de l'Ecole des Mines d'Alès et de l'UMR Espace consiste à instrumenter et suivre plusieurs petits bassins versants cévenols: Valescure, Tourgueille, Avène (bassin du Gard), Cèze, Mont-Lozère (bassin du Tarn), et Basse Cévenne Calcaire. La contribution du LTHE concerne les bassins du Gazel et de la Claduègne (BV Ardèche), sur lesquels sont réalisés des suivis de hauteur limnimétrique, vitesse de surface, débit, turbidité, conductivité et température de l'eau. Sites expérimentaux Ardèche Mesures des débits de crue par analyse d'image sur le bassin versant de l'Ardèche Avène Bassins du piemont alésien : Avène amont : 2012-actuel -10 km2 -275-535 m alt.– géologie : houiller et calcaire (karst) – largement boisé (chêne vert) Avene aval : 2012-actuel –- 60 km2- 110-535 - géologie : dominante marno calcaire – espace agricole en voie d’urbanisation- Equipement : station non aménagée – 1 (2) limnigraphes – pluviographes à proximité : Les Mathieux (St julien les Rosiers) et St Christol-lez Alès Basse Cévenne Calcaire Système karstique du piémont alésien (une des têtes du bassin du Grabieux). 2011-actuel. alt. 200-356 m. géologie: calcaires jurassiques. végétation: boisement de chêne vert dominant exploité extensivement- 4 stations souterraines, 1 résurgence, 1 vallon sec. 1 pluviographe. mesures: niveau, (débit), pluie, température, conductivité Cèze Pas de description disponible Gazel - Claduègne Système d’observations hydrométéorologiques et hydro-sédimentaires centré sur trois bassins versants emboités : Gazel, Claduègne, Auzon (respectivement 3,4, 43, et 116 km²). Climat méditerranéen avec des précipitations et des crues éclairs en automne. La partie supérieure du bassin versant se caractérise par des formations volcaniques tandis que les deux tiers inférieurs sont constitués de roche calcaire sédimentaire. Les types de sols sont fortement influencés par la géologie du bassin versant. Les principaux types d’usage des sols sont les pâturages, les vignes et la forêt. Mont-Lozère BVRE de moyenne montagne sub mediterranéenne - flanc sud du Mont Lozère (1150-1500 m alt.) -granite- BV Cloutasses: lande à genêt pâturage ovin - 0.81 km2 BV Latte: forêt ONF -épicéa coupé en 1987-198 9 puis nouvelle plantation (résineux dominants) - 0.20 km2 BV Sapine: forêt PnC (hêtraie 80 %) - 0.54 km2 BV Alignon: composite - granite/schistes- 14.5 km2 (depuis 1997) BV Goudesche: forestier -11.7 km2 (voir station DREAL) -1997-2003 suivi depuis 1981 - chroniques Climato (P, T, insolation,...); pluviométrie (5 sites); débits: 5 stations hydro Tourgueille Bassins versants cévenols - Crebades : 2012-actuel – 1 km2- forestier (reboisement résineux dominant); Lieure (reboisement et terrasses abandonnées: 2012- actuel – 3 km2 ; Roumegous : 2012-actuel -10 km2 – composite . Equipement : stations naturelles sujettes à détarage important sur la Lieure et à Roumegous - 1 (2) limnigraphes ; 1 pluviographe (Tourgueille) Valescure Bassin versant représentatif des Cévennes,compris entre 230 et 815 m alt.: géologie: granite dominant, gneiss et schistes- boisé à 98 % (châtaigner: 50 %, chêne vert:42 %; résineux:5%)- aménagements anciens : terrasses, traversiers et tancats (ouvrages en pierres sèches barrant les thalwegs ayant fait l'objet de restauration entre 2002 et 2006). 5 BV étudiés : Valescure aval 2003-actuel 3.93 km2; Abrits: 2003-actuel -0.63 km2 - gneiss dominant et schistes - nombreux tancats; Cartaou : 2003-actuel - 0.52 km2 -gneiss et granite - référence (sans restauration)- châtaigneraie; Bastide: 2004-actuel -0.27 km2 -chênes verts et châtaigners; Valescure amont: 2005-actuel - 0.93 km2 -forestier; matériel géré par ESPACE: 5 limnigraphes - 2 pluviographes -1 station climatologique - 1 station TDR (2005-2010)","BDOH","Earth and Environmental Sciences","hydrology; bassin versant expérimental; flash flood; hydrometry",0,"2024-10-16T16:53:30Z","Didon-Lescot, Jean-François; Ayral, Pierre-Alain; Grard, Nadine",24,22,0,0,0,0
"doi:10.17180/obs.real","https://doi.org/10.17180/obs.real","Bassin versant expérimental du Réal Collobrier","Tolsa, Mathieu; Folton, Nathalie; Arnaud, Patrick, 2024, ""Bassin versant expérimental du Réal Collobrier"", https://doi.org/10.17180/obs.real, Recherche Data Gouv, V1","Le bassin versant expérimental du Réal Collobrier est situé sur la façade méditerranéenne dans le département du Var, à l’extrémité Ouest du massif montagneux des Maures, à 20 km au Nord-est de Toulon. Avec 17 postes pluviographiques et 11 stations de contrôle de débits répartis sur 70 km2 il constitue un site repère de l’hydro-climatologie régionale depuis 1966. Sites expérimentaux Real Collobrier Le bassin versant expérimental du Réal Collobrier est situé sur la façade méditerranéenne dans le département du Var, à l’extrémité Ouest du massif montagneux des Maures, à 20 km au Nord-est de Toulon. Avec 17 postes pluviographiques et 11 stations de contrôle de débits répartis sur 70 km2 il constitue un site repère de l’hydro-climatologie régionale depuis 1966.","BDOH","Earth and Environmental Sciences","flash flood; hydrology",0,"2024-10-17T08:27:47Z","Tolsa, Mathieu; Folton, Nathalie; Arnaud, Patrick",30,26,0,0,0,0
"doi:10.57745/7GX8NV","https://doi.org/10.57745/7GX8NV","Contour des masses d'eau souterraines du modèle RECHARGE","Robelin, Olivier, 2024, ""Contour des masses d'eau souterraines du modèle RECHARGE"", https://doi.org/10.57745/7GX8NV, Recherche Data Gouv, V1","Découpage de la France en masses d'eau souterraines, à l’échelle desquelles sont fournies les recharges potentielles par les précipitations simulées avec le modèle RECHARGE","explore2","Earth and Environmental Sciences","",7,"2024-05-31T14:59:43Z","Robelin, Olivier",139,50,81,13,108185272,0.101
